Date,Purchase_Bid,Sell_Bid,MCV,Final_Scheduled_Volume,MCP,Weighted_MCP_lag_1,Weighted_MCP_lag_2,Weighted_MCP_lag_3,Weighted_MCP_lag_4,Weighted_MCP_lag_5,Weighted_MCP_lag_6,Weighted_MCP_lag_7,Purchase_Bid_lag_1,Purchase_Bid_lag_2,Purchase_Bid_lag_3,Purchase_Bid_lag_4,Purchase_Bid_lag_5,Purchase_Bid_lag_6,Purchase_Bid_lag_7,Sell_Bid_lag_1,Sell_Bid_lag_2,Sell_Bid_lag_3,Sell_Bid_lag_4,Sell_Bid_lag_5,Sell_Bid_lag_6,Sell_Bid_lag_7
2022-05-13,187883.37,215020.75,124009.06,124009.05,4840.23,5994.53,5945.11,5450.17,8275.96,7235.54,9382.96,10118.73,189254.2,185659.78,155469.26,170429.4,135393.43,233076.2,247290.09,204481.24,193402.49,172410.5,136998.95,142903.35,134475.51,107756.32
2022-05-14,163662.02,222312.53,111960.14,111960.14,4358.88,5040.81,5994.53,5945.11,5450.17,8275.96,7235.54,9382.96,187883.37,189254.2,185659.78,155469.26,170429.4,135393.43,233076.2,215020.75,204481.24,193402.49,172410.5,136998.95,142903.35,134475.51
2022-05-15,134073.49,267811.68,95361.85,95361.84,3345.7,4533.68,5040.81,5994.53,5945.11,5450.17,8275.96,7235.54,163662.02,187883.37,189254.2,185659.78,155469.26,170429.4,135393.43,222312.53,215020.75,204481.24,193402.49,172410.5,136998.95,142903.35
2022-05-16,160805.72,203536.97,93707.24,93707.23,4677.99,3499.15,4533.68,5040.81,5994.53,5945.11,5450.17,8275.96,134073.49,163662.02,187883.37,189254.2,185659.78,155469.26,170429.4,267811.68,222312.53,215020.75,204481.24,193402.49,172410.5,136998.95
2022-05-17,186553.4,197959.02,105000.15,105000.15,5133.35,4870.04,3499.15,4533.68,5040.81,5994.53,5945.11,5450.17,160805.72,134073.49,163662.02,187883.37,189254.2,185659.78,155469.26,203536.97,267811.68,222312.53,215020.75,204481.24,193402.49,172410.5
2022-05-18,206774.15,166706.01,109089.14,109089.15,5905.63,5307.9,4870.04,3499.15,4533.68,5040.81,5994.53,5945.11,186553.4,160805.72,134073.49,163662.02,187883.37,189254.2,185659.78,197959.02,203536.97,267811.68,222312.53,215020.75,204481.24,193402.49
2022-05-19,237297.45,186919.18,137089.53,137089.53,6515.07,6016.61,5307.9,4870.04,3499.15,4533.68,5040.81,5994.53,206774.15,186553.4,160805.72,134073.49,163662.02,187883.37,189254.2,166706.01,197959.02,203536.97,267811.68,222312.53,215020.75,204481.24
2022-05-20,230449.86,176364.7,128320.29,128320.3,6943.46,6681.16,6016.61,5307.9,4870.04,3499.15,4533.68,5040.81,237297.45,206774.15,186553.4,160805.72,134073.49,163662.02,187883.37,186919.18,166706.01,197959.02,203536.97,267811.68,222312.53,215020.75
2022-05-21,193844.33,194849.03,120727.92,120727.92,6488.3,7071.27,6681.16,6016.61,5307.9,4870.04,3499.15,4533.68,230449.86,237297.45,206774.15,186553.4,160805.72,134073.49,163662.02,176364.7,186919.18,166706.01,197959.02,203536.97,267811.68,222312.53
2022-05-22,103943.6,251457.84,70117.06,70117.06,2887.33,7021.05,7071.27,6681.16,6016.61,5307.9,4870.04,3499.15,193844.33,230449.86,237297.45,206774.15,186553.4,160805.72,134073.49,194849.03,176364.7,186919.18,166706.01,197959.02,203536.97,267811.68
2022-05-23,124776.59,269126.47,79176.31,79176.31,3470.76,2873.58,7021.05,7071.27,6681.16,6016.61,5307.9,4870.04,103943.6,193844.33,230449.86,237297.45,206774.15,186553.4,160805.72,251457.84,194849.03,176364.7,186919.18,166706.01,197959.02,203536.97
2022-05-24,139168.64,259021.44,87926.01,87926.01,3541.35,3544.29,2873.58,7021.05,7071.27,6681.16,6016.61,5307.9,124776.59,103943.6,193844.33,230449.86,237297.45,206774.15,186553.4,269126.47,251457.84,194849.03,176364.7,186919.18,166706.01,197959.02
2022-05-25,225771.86,203958.06,111503.82,111503.81,4928.54,3753.74,3544.29,2873.58,7021.05,7071.27,6681.16,6016.61,139168.64,124776.59,103943.6,193844.33,230449.86,237297.45,206774.15,259021.44,269126.47,251457.84,194849.03,176364.7,186919.18,166706.01
2022-05-26,244184.65,187660.58,140291.21,140291.21,6613.75,5088.22,3753.74,3544.29,2873.58,7021.05,7071.27,6681.16,225771.86,139168.64,124776.59,103943.6,193844.33,230449.86,237297.45,203958.06,259021.44,269126.47,251457.84,194849.03,176364.7,186919.18
2022-05-27,210867.71,184508.76,125046.27,125046.23,7024.45,6678.4,5088.22,3753.74,3544.29,2873.58,7021.05,7071.27,244184.65,225771.86,139168.64,124776.59,103943.6,193844.33,230449.86,187660.58,203958.06,259021.44,269126.47,251457.84,194849.03,176364.7
2022-05-28,161558.04,201219.77,98657.08,98657.08,5222.36,7266.56,6678.4,5088.22,3753.74,3544.29,2873.58,7021.05,210867.71,244184.65,225771.86,139168.64,124776.59,103943.6,193844.33,184508.76,187660.58,203958.06,259021.44,269126.47,251457.84,194849.03
2022-05-29,142050.19,237223.12,97128.62,97128.62,4335.59,5883.97,7266.56,6678.4,5088.22,3753.74,3544.29,2873.58,161558.04,210867.71,244184.65,225771.86,139168.64,124776.59,103943.6,201219.77,184508.76,187660.58,203958.06,259021.44,269126.47,251457.84
2022-05-30,206761.47,184686.65,114922.15,114922.15,6449.59,4706.08,5883.97,7266.56,6678.4,5088.22,3753.74,3544.29,142050.19,161558.04,210867.71,244184.65,225771.86,139168.64,124776.59,237223.12,201219.77,184508.76,187660.58,203958.06,259021.44,269126.47
2022-05-31,190115.41,195612.97,107049.77,107049.77,5916.41,6851.21,4706.08,5883.97,7266.56,6678.4,5088.22,3753.74,206761.47,142050.19,161558.04,210867.71,244184.65,225771.86,139168.64,184686.65,237223.12,201219.77,184508.76,187660.58,203958.06,259021.44
2022-06-01,195662.72,196876.93,125685.87,125685.87,6567.19,6296.9,6851.21,4706.08,5883.97,7266.56,6678.4,5088.22,190115.41,206761.47,142050.19,161558.04,210867.71,244184.65,225771.86,195612.97,184686.65,237223.12,201219.77,184508.76,187660.58,203958.06
2022-06-02,222509.54,208465.83,147275.88,147275.86,7206.03,7061.28,6296.9,6851.21,4706.08,5883.97,7266.56,6678.4,195662.72,190115.41,206761.47,142050.19,161558.04,210867.71,244184.65,196876.93,195612.97,184686.65,237223.12,201219.77,184508.76,187660.58
2022-06-03,211094.42,207113.85,139839.84,139839.84,6735.32,7870.0,7061.28,6296.9,6851.21,4706.08,5883.97,7266.56,222509.54,195662.72,190115.41,206761.47,142050.19,161558.04,210867.71,208465.83,196876.93,195612.97,184686.65,237223.12,201219.77,184508.76
2022-06-04,236464.27,194967.59,144040.6,144040.6,7650.32,7397.86,7870.0,7061.28,6296.9,6851.21,4706.08,5883.97,211094.42,222509.54,195662.72,190115.41,206761.47,142050.19,161558.04,207113.85,208465.83,196876.93,195612.97,184686.65,237223.12,201219.77
2022-06-05,221317.07,206021.94,140270.0,140270.0,7040.7,8232.92,7397.86,7870.0,7061.28,6296.9,6851.21,4706.08,236464.27,211094.42,222509.54,195662.72,190115.41,206761.47,142050.19,194967.59,207113.85,208465.83,196876.93,195612.97,184686.65,237223.12
2022-06-06,271207.82,213155.01,166380.21,166375.41,8069.69,7656.35,8232.92,7397.86,7870.0,7061.28,6296.9,6851.21,221317.07,236464.27,211094.42,222509.54,195662.72,190115.41,206761.47,206021.94,194967.59,207113.85,208465.83,196876.93,195612.97,184686.65
2022-06-07,207048.59,245516.8,147834.12,147834.12,6095.86,8480.74,7656.35,8232.92,7397.86,7870.0,7061.28,6296.9,271207.82,221317.07,236464.27,211094.42,222509.54,195662.72,190115.41,213155.01,206021.94,194967.59,207113.85,208465.83,196876.93,195612.97
2022-06-08,220237.05,239869.0,146112.9,146112.9,6395.89,6653.04,8480.74,7656.35,8232.92,7397.86,7870.0,7061.28,207048.59,271207.82,221317.07,236464.27,211094.42,222509.54,195662.72,245516.8,213155.01,206021.94,194967.59,207113.85,208465.83,196876.93
2022-06-09,230895.25,232600.36,149253.3,149253.3,6878.2,7039.19,6653.04,8480.74,7656.35,8232.92,7397.86,7870.0,220237.05,207048.59,271207.82,221317.07,236464.27,211094.42,222509.54,239869.0,245516.8,213155.01,206021.94,194967.59,207113.85,208465.83
2022-06-10,227559.77,228808.1,151788.43,151788.43,7030.0,7394.51,7039.19,6653.04,8480.74,7656.35,8232.92,7397.86,230895.25,220237.05,207048.59,271207.82,221317.07,236464.27,211094.42,232600.36,239869.0,245516.8,213155.01,206021.94,194967.59,207113.85
2022-06-11,235196.39,203788.01,143551.24,143551.24,7769.24,7570.89,7394.51,7039.19,6653.04,8480.74,7656.35,8232.92,227559.77,230895.25,220237.05,207048.59,271207.82,221317.07,236464.27,228808.1,232600.36,239869.0,245516.8,213155.01,206021.94,194967.59
2022-06-12,193227.99,250228.38,136707.25,136707.25,5848.79,8242.32,7570.89,7394.51,7039.19,6653.04,8480.74,7656.35,235196.39,227559.77,230895.25,220237.05,207048.59,271207.82,221317.07,203788.01,228808.1,232600.36,239869.0,245516.8,213155.01,206021.94
2022-06-13,252482.63,192239.62,140273.74,140272.77,8354.53,6856.88,8242.32,7570.89,7394.51,7039.19,6653.04,8480.74,193227.99,235196.39,227559.77,230895.25,220237.05,207048.59,271207.82,250228.38,203788.01,228808.1,232600.36,239869.0,245516.8,213155.01
2022-06-14,286301.33,164020.49,132019.83,132019.83,9345.75,8624.81,6856.88,8242.32,7570.89,7394.51,7039.19,6653.04,252482.63,193227.99,235196.39,227559.77,230895.25,220237.05,207048.59,192239.62,250228.38,203788.01,228808.1,232600.36,239869.0,245516.8
2022-06-15,306704.24,163163.76,140864.79,140864.79,10143.08,9510.93,8624.81,6856.88,8242.32,7570.89,7394.51,7039.19,286301.33,252482.63,193227.99,235196.39,227559.77,230895.25,220237.05,164020.49,192239.62,250228.38,203788.01,228808.1,232600.36,239869.0
2022-06-16,244429.55,182698.68,134350.14,134350.14,8604.31,10046.05,9510.93,8624.81,6856.88,8242.32,7570.89,7394.51,306704.24,286301.33,252482.63,193227.99,235196.39,227559.77,230895.25,163163.76,164020.49,192239.62,250228.38,203788.01,228808.1,232600.36
