Date,Purchase Bid (MWh),Sell Bid (MWh),MCV (MWh),Final Scheduled Volume (MWh),MCP (Rs/MWh) *,Weighted MCP (Rs/MWh)
28-04-2022,660866.20,54349.86,54349.86,54349.86,12000.00,12000.00
29-04-2022,762110.10,47417.60,47417.60,47417.60,12000.00,12000.00
30-04-2022,713308.04,45331.17,45331.17,45331.17,12000.00,12000.00
01-04-2023,267659.08,303728.33,167206.34,167206.34,4315.02,4336.20
02-04-2023,259493.48,345940.34,153660.67,153660.67,3504.74,3550.58
03-04-2023,286805.48,300335.07,161210.88,161041.31,4124.72,4154.05
04-04-2023,267028.13,292502.09,155332.47,155332.47,4278.65,4229.25
05-04-2023,264427.61,279036.97,146948.72,146948.72,4342.79,4221.88
06-04-2023,291391.59,270448.49,158728.22,158728.22,4675.32,4491.14
07-04-2023,279102.02,298966.81,165202.46,165202.46,4466.46,4366.24
08-04-2023,301594.97,286010.21,163459.87,163459.87,5344.99,4976.43
